,DT_reg,boardContent,vocCode,anpath,adcode,adcode_b
0,2021.7.31 0:00,사진 찍을 때 많이 당혹스러웠으나 그냥 받아들였습니다.. ,불만,고객만족도조사(설문),직원 기타,직원
1,2021.7.31 0:00,"다이어트약 처방해주시는 선생님은 매번 불친절하시네요ㅠㅠ 시니컬하시다고나 할까요. 방안을 제시해주시기보다는 \""그래서 어떻게 하실건데요\"" 이렇게 저한테 물어보시니까 당황스럽고..다른 분들은 다 좋으신데, 이 선생님만 유독 말투나 눈빛 등이 많이 불친절하세요",불만,고객만족도조사(설문),직원 기타,직원
2,2021.7.31 0:00,인포직원분.. 초짜인줄 알겠는데 진료원장님 이름 찾을때까지 아무말도 안하고 시간보내고 이미 수납 완료했는데 확인도 안하고 수납해드리겠다고하고. 그렇게 근무할거면 제가 해도 충분히 하겠던데요. 얼굴만보고 뽑지 마시고 일 좀 야무지게 잘하는 사람 뽑으세요. 지난주엔 수술실 주사 맞으러왔더니 후관리 왔냐면서 몸무게 재고 앉아서 10분이 넘게 확인한다고 앉혀놓아서 가뜩이나 늦었는데 예약시간보다 30분이나 늦게 올라갔어요. 인포 직원들 친절이 문제가 아니라 일을 너~~~무 못하네요.,불만,고객만족도조사(설문),직원 기타,직원
3,2021.7.31 0:00,주말 주차공간 ㅠㅠ,불만,고객만족도조사(설문),"주차 불편,불만",시설
4,2021.7.31 0:00,화장실이 더워여,불만,고객만족도조사(설문),환경기타,시설
5,2021.7.31 0:00,이번주는 살이 잘 안빠져서 힘들었네요,불만,고객만족도조사(설문),"시술 후 결과 불만족,요요",시술
6,2021.7.31 0:00,상담친절하게 잘해주셨어요 다만 아쉬운점은 금액..,불만,고객만족도조사(설문),"기타(이벤트, 비용불만, 예약제 불만, 메일 오류등)",기타
7,2021.7.31 0:00,"이서희매니저님 너무 밝고 귀여우세요
박혜수 원장님은 좀.. 귀찮아하시는거 같아ㅆ어요",불만,고객만족도조사(설문),직원 기타,직원
8,2021.7.31 0:00,대기시간이 너무 길어요 약처방전만 받는건 좀 개선부탁드려요 ,불만,고객만족도조사(설문),"대기 불만(대기시간, 대기공간 등)",대기
9,2021.7.31 0:00,"지점에 계신 모~든 의료진들(의사,간호사,접수 등등)
모든분들은 두말할거없이 너~무 친절하셔서 좋아요^^
갠적으로 조~금 아쉬운게 있다면...
처음 시술을 하는 환자들은
알고있는 기본값?정보?등이 없다보니 비교대상이나
평균을 알지못하다보니 지금 받고있는 수술이나시술이
왜 여기까지 해야만 하는지나~
더이상은 추출이 안되는 이유 등등의 설명이
좀 더~있었으면 좋았겠다..하는 아쉬움이 있네요^^
",불만,성공기(온),직원 기타,직원
10,2021.7.31 0:00,수술일정때문인지 상담진행이 원활하지 않음..,불만,고객만족도조사(설문),"상담 불만(내용부족, 강요등)",직원
11,2021.7.31 0:00,탈의실이 너무 더워요ㅠㅠ,불만,고객만족도조사(설문),환경기타,시설
12,2021.7.31 0:00,#NAME?,불만,고객만족도조사(설문),직원 기타,직원
13,2021.7.31 0:00,혹시 상담하시는분 교체가 가능한가요?,불만,고객만족도조사(설문),"상담 불만(내용부족, 강요등)",직원
25,2021.7.30 0:00,"늘 갈때마다 접수부터 시술선생님, 상담선생님 다들 친절하셔서 좋아요♡ 특히 흉터카복시 해주신 선생님 항상 넘 감사해요!!!
 그런데 오늘은 사진찍어 주시는 분(13층)이 바뀌셨는지 평소와 다른 분이셨는데..불친절하고 대충하신다는 느낌을 강하게 받았어요ㅠㅠ.. 저는 팔다리 모두 수술해서 가슴테이프만 붙이고 거의 전라로 올라가서 찍느라 그자체로 좀 수치스러운 기분이 드는데..사진찍어주시는 분이 저번과 달리 좀 불친절하시니까 넘 불쾌하더라구요ㅠㅠ이런 부분 고려해서 더 친절하게 해주셨음 좋겠습니다!",불만,고객만족도조사(설문),"응대 태도(불친절, 무관심등)",직원
26,2021.7.30 0:00,약을좀더길게주셨음합니다,불만,고객만족도조사(설문),약처방,시스템
27,2021.7.30 0:00,"수술후 집에 와서 마취가 다 풀리고 나서 입안이 이상해서 보니
왼쪽 혀끝과 왼쪽 입술이 찝혀서 상처가 나 있네요.
마취서 입안에 뭘 물리실때 잘못 넣은거 같아요.혀 상처는 아직도 안아물어서 조심해야되요.",불만,고객만족도조사(설문),수술 기타,수술
28,2021.7.30 0:00,기존에 관리해주시던 선생님(무한람스 시술시 함께 계시던분)은 되게 친절하셔서 후관리 받을때도 넘 좋았는데 이번에 후관리 받으러갔을때는 짐넣는 곳도 안알려주시고 ㅠ 약처방 받기로해서 진료보고 가기로했는데 잘 모르셨는지 다시 물어보시고 .. 다른 선생님이 너무 친절하셔서 그런지 약간 불편한 그런 느낌이있었습니다,불만,고객만족도조사(설문),"응대 태도(불친절, 무관심등)",직원
29,2021.7.30 0:00,접수팀안내해주시는 선생님 설명이..헷갈리게해요 ㅠㅠ 실천지수쓰려고왔는데 결제하려고 하셨음 ㅠㅠ,불만,고객만족도조사(설문),직원 기타,직원
30,2021.7.30 0:00,저번주에 방문했을때도 첫 상담 시 추천인 이야기한거 그게 어떻게 진행되고 어떤서비스를 받을 수 있는지 물어보고 매니저님이 전화해주신다고했는데 전화도 없고 오늘 가서 또 물어봤는데 매니저님 쉬는 날이라 모른다고 그때 이야기한 추천인을 다시 알려달라고 하셨습니다. 제 차트에 써있지 않나보네요?  피드백이 안되는 부분이 불편했습니다.,불만,고객만족도조사(설문),"응대 태도(불친절, 무관심등)",직원
31,2021.7.30 0:00,시술을 조금 빨리 진행해주시면 더 좋을 거 같아요!! 시술 전 누워서 대기하는 시간이 좀 긴 것 같아요ㅜㅜ,불만,성공기(온),"대기 불만(대기시간, 대기공간 등)",대기
32,2021.7.30 0:00,고주파 몇반받으면서 허리 뒷부분은 시술을 못받앗슴니다 올 처음 박현주씨가 해�Z어요 다른직원들은 애 안해�Z는지 그럿네요 수술받고도 시술을 왜 빠뜨렷는지 다시 이부분 서비스 받고십네요,불만,고객만족도조사(설문),시술자 스킬부족,시술
33,2021.7.30 0:00,후관리받으면서 다른 직원들이 안해�Z던 분분 엉덩이 접히는 부분 뭉침이라던지 좌우엉덩이까지 세심하게 시술받앗슴니다 직원들의 꼼꼼한 지도가 필요함니다,불만,고객만족도조사(설문),시술자 스킬부족,시술
34,2021.7.30 0:00,"끝까지 친절히 잘 말씀해주셔서 좋앗어요 ! 
알코올솜은 소독된건데 손에 오염된걸 다시 뒤집어서 지혈하셔서 그 부분은 좀 ..아쉬�m어요 ",불만,고객만족도조사(설문),"청결,비위생",시설
35,2021.7.30 0:00,주차가 너무 불편해요..엄청 오래걸렸어요 ㅜㅜ,불만,고객만족도조사(설문),"주차 불편,불만",시설
36,2021.7.30 0:00,시술 수건 소독 세탁 부탁 드립니다,불만,고객만족도조사(설문),"청결,비위생",시설
37,2021.7.30 0:00,7층으로 갔는데 직원분들이 안계셔서 10층으로 안내멘트가 있었으면 합니다. 승강기보면 7층이 병원으로 가기가 쉬울듯 합니다.,불만,고객만족도조사(설문),환경기타,시설
38,2021.7.30 0:00,쬐끔 더웠어요/항상 친절하셔서 너무 좋아요/근데 약국을 반월당 약국말고 다른곳이랑 손을 잡는건 어떨까요? 반월당 약에서 안좋은냄새도 나고 불친절해서 혹시나하고 의견남깁니다,불만,고객만족도조사(설문),환경기타,시설
39,2021.7.30 0:00,엘레베이터가 너무 더워요~,불만,고객만족도조사(설문),환경기타,시설
46,2021.7.29 0:00,좋았어용 빨리 뭉침이 사라졌으면 좋겠어요?,불만,고객만족도조사(설문),"수술 후 부작용문의(뭉침, 착색,흉터)",수술
47,2021.7.29 0:00,개선될점을  저번에도 올렸는데요.이번이 람스시술후 2회차 관리입니다.예약시간을   정할수있도록해주셨음 좋겠네요.  메조주사시  여러부위를  맞게되면 얼음찜질 효과가 좀 떨어지니 맘이 불안감이  생기네요충분한찜질 팩을  보충해주셨음  좋겠다싶네요,불만,고객만족도조사(설문),직원 기타,직원
48,2021.7.29 0:00,"영양사상담분께서 상담해주신건 좋았습니다.
하지만 나이가 점점 많아지면 살이잘빠지지않는이유중 하나라고 하시면서
20대초반과 20대후반은 다르다 ~~  < 뭐 여기까지는 괜찮았음 .
20대 후반이면 뭐 이제 나이가 적은것도 아니고 많은편이잖아요  ~
이런식으로 말씀 하셨는데 
나이언급 괜찮지만, 
나이랑 상관없이 영양상담해주셔야 하는거 아닌가요? 기분이 좀 그랬습니다.

칭찬할점)
영양상담후, 후관리 할때 지루하지않게 계속 잘 알려주시고 제가 궁금한거 물어보는데 마음편하게 해주시고  황수림 매니저님 너무 친절하셔서 마지막에 기분풀렸어요^^..
",불만,고객만족도조사(설문),"응대 태도(불친절, 무관심등)",직원
49,2021.7.29 0:00,"친절히 대해주셔서 좋았습니다
다만 상담과정에서 해주셨던 얘기가 몇번 반복되는 느낌이라 제 생각에는 꼭 필요하지 않았던 시간이 흐르고  상담시간이 조금 늘어지는 느낌은 있었습니다
그치만 친절히 대해주셨어요",불만,고객만족도조사(설문),"상담 불만(내용부족, 강요등)",직원
50,2021.7.29 0:00,재수술마취비54인가요?가격좀깍아주세요~,불만,고객만족도조사(설문),"기타(이벤트, 비용불만, 예약제 불만, 메일 오류등)",기타
59,2021.7.28 0:00,인바디랑 사진 찍는 주기를 좀더 줄였으면 좋겠어요,불만,고객만족도조사(설문),"기타(이벤트, 비용불만, 예약제 불만, 메일 오류등)",기타
60,2021.7.28 0:00,지방분해주사 용량이 너무작아요,불만,고객만족도조사(설문),시술 기타,시술
61,2021.7.28 0:00,상담 후 수술날 상담매니저를 만날 수 없어서 아쉬웠습니다. 상담시에는 너무 친절히 잘 해주셨는데 수술날은 다 처음보는 분들과 진행하려니 더 무서웠던 것 같습니다. 그래도 다행히 수술 방 선생님이 너무 잘해주셔서 무사히 수술을 끝낼 수 있었습니다~! ,불만,고객만족도조사(설문),직원 기타,직원
62,2021.7.28 0:00,"불편한 점은 옷이여 옷이 가운 형식으로 바뀌었으면 좋겠습니다
칭찬할 점 상담해주시는 분이 적극적이고 모니터 활용을 잘 해주셔서 칭찬합니다!",불만,고객만족도조사(설문),"시설 부족,불편(가운, 슬리퍼, 기타 용품등)",시설
63,2021.7.28 0:00,상담대답은안해주고만족도설문은 보내주시고좀그렇네요,불만,고객만족도조사(설문),"응대 태도(불친절, 무관심등)",직원
64,2021.7.28 0:00,너무 오래 기다렸네요~원장님이 한분밖에 안 계시닌까 시술디자인하고 상담하고 그러면 뒷사람이 너무 오래 기다리게 되네요,불만,고객만족도조사(설문),"대기 불만(대기시간, 대기공간 등)",대기
65,2021.7.28 0:00,대기가 너무길어요,불만,고객만족도조사(설문),"대기 불만(대기시간, 대기공간 등)",대기
66,2021.7.28 0:00,압박복도 입기전에 수술실에서 마취가 깨서 많이 아프고 힘들었어요,불만,고객만족도조사(설문),수술 기타,수술
67,2021.7.28 0:00,대기시간이 너무 길었던것 빼고는 모두 만족했습니다,불만,고객만족도조사(설문),"대기 불만(대기시간, 대기공간 등)",대기
68,2021.7.28 0:00,체외충격파할때 뭉친거 시원하게 빨리 풀고 싶어서 좀 더 강하게 부탁드렸는데 충분하다고 안해주셨어요 꼼꼼하게 해주시긴 했지만 제 기준에는 저번보다 약해서 덜 시원했고 덜 풀린기분입니다 ,불만,고객만족도조사(설문),시술자 스킬부족,시술
69,2021.7.28 0:00,항상 친절하시고 좋아요ㅎ 근데 약은 세번째  짓는거같은데 저랑 안맞네요ㅠ먹어도 오히려 너무너무 배고파요,불만,고객만족도조사(설문),약처방,시스템
70,2021.7.28 0:00,"월요일에 금요일 예약을 수요일로 변경해달라했는데
이번주꺼 변경을 안하고 다음주꺼를 변경해주셔서
오늘 병원갔더니 예약이 안되있다고 하더라구요..
8/4알로 변경해줬다고 말씀해주셨으나 확인 안 한 제 탓도 있지만..
사실 보통 해당 주차를 변경하니 조금 당황스럽긴 했습니다..
결과적으론 시술 잘 받고 왔고 꼼꼼히 해주셔서 만족스러웠습니다..",불만,고객만족도조사(설문),직원 기타,직원
71,2021.7.28 0:00,대기할때 타블릿으로 영상을 보는데 방 스피커 노래가 카서 조금 방해되었습니다. 그 점 빼면 너무너무 편하고 좋았어요!,불만,고객만족도조사(설문),"기타(이벤트, 비용불만, 예약제 불만, 메일 오류등)",기타
72,2021.7.28 0:00,약처방해주시는 분은 처음부터 불친절하셨어요 ㅠ그래서약처방은 상담받거나��고싶지가않네요 다른분들은 모두 친절하세요,불만,고객만족도조사(설문),"응대 태도(불친절, 무관심등)",직원
76,2021.7.28 0:00,교대점이랑 너무 비교되요,불만,고객만족도조사(설문),"기타(이벤트, 비용불만, 예약제 불만, 메일 오류등)",기타
85,2021.7.27 0:00,"가격문제를 꼼꼼히 알려주셨으�� 좋겠어요 컴퓨터 계신기로 타타�y탁 치시고 오초만에 끄시더라구요 가격 고민을 못하게 하려는 느낌이었어요 
그 외에는 친절하시고 잘 알려주셨습니다",불만,고객만족도조사(설문),"상담 불만(내용부족, 강요등)",직원
86,2021.7.27 0:00,지방흡입 상담을 하러 갔을 때 미리 홈페이지에서도 전화로도 기본 가격을 여쭤보고 갔는데 막상 상담 받으니까 가격이 변동�榮쨉� 홈페이지에 아직 안 바꼈다고 하시더라고요. 나머진 다 만족스러웠는데 그 부분은 빠른 조취가 없어서 아쉬웠습니다 ㅠ,불만,성공기(온),"상담 불만(내용부족, 강요등)",직원
88,2021.7.27 0:00,장사도 잘되는데 사람도 더 뽑고 더 넓은데로 이사갑시다~ 대기시간도 길고 대기장소도 좁아요,불만,고객만족도조사(설문),"대기 불만(대기시간, 대기공간 등)",대기
89,2021.7.27 0:00,수술후관리 예약 안되는게 조금아쉽네요,불만,성공기(온),"기타(이벤트, 비용불만, 예약제 불만, 메일 오류등)",기타
90,2021.7.27 0:00,엄청 다시 살이 쪄버렸네 ...어찌해야 빠질련지,불만,고객만족도조사(설문),"시술 후 결과 불만족,요요",시술
91,2021.7.27 0:00,"시간이지날수록 편안해야하는데 점점불편합니다,
눈치보여요
",불만,성공기(온),직원 기타,직원
92,2021.7.27 0:00,오늘은 주사 바늘 옮길때마다 너무아파서  좀 힘들었네요,불만,고객만족도조사(설문),시술자 스킬부족,시술
93,2021.7.27 0:00,"기타의견입니다~
주차된 차량을 기다리는곳에 그늘막이 있었으면 좋겠습니다^^
저를포함 기다리는분들이 모두 땡볕에 기다리니 너무 뜨거웠어요~!",불만,고객만족도조사(설문),"주차 불편,불만",시설
94,2021.7.27 0:00,회복실에서 오른쪽힙아래에 수액이 흘러 드레싱하고 집에왔는데 너무 흥건히졌어 집에서 다시 드레싱을했는데 출혈이 멈추지않고 계속 나는데 출혈양이 좀 많아서 걱정됩니다.가만히 누워있어야 하나요?ㅡㅜ다른곳은 출혈이없는데 이곳만 수액이 나온다는건 문제가 있는것이 아닌가요? 간혹이런경우가 있다말씀하시겠지만 무지 불안하고 잘못된건 아닌가? 기존경로로배출되야할 수액이 수술부위로나온다는게 좋은현상은 아니니 효과가 떨어지지않은까? 의구심이 들어요.ㅡㅜ 뭉침현상도 심한거같고...걱정입니다.,불만,고객만족도조사(설문),"수술 후 증상(멍,붓기,통증 )",수술
95,2021.7.27 0:00,대기가 없었는데 너무 오래 기다렸어요,불만,고객만족도조사(설문),"대기 불만(대기시간, 대기공간 등)",대기
96,2021.7.27 0:00,바늘 주사하실 때 너무 아팠어요,불만,고객만족도조사(설문),시술자 스킬부족,시술
146,2021.7.26 0:00,후관리를 받고서 카운터쪽으로 나왔지만 따로 응대가 없어 멀뚱멀둥 쳐다보다 직접 물어봤습니다. 물어보기전에 빠른 응대가 있으면 좋을것 같습니다.,불만,성공기(온),"응대 태도(불친절, 무관심등)",직원
147,2021.7.26 0:00,11시부터 운영시간인데 간호사선생님들 오전 업무 미팅이 길어져서...그래도 대기하시던 분들이 10명이 넘게 있었는데... 오픈시간은 맞춰 주셨음 좋겠어요,불만,고객만족도조사(설문),"대기 불만(대기시간, 대기공간 등)",대기
148,2021.7.26 0:00,식이상담 대구점에빨리 해주세요,불만,성공기(온),"기타(이벤트, 비용불만, 예약제 불만, 메일 오류등)",기타
149,2021.7.26 0:00,다 너무 좋은데 바늘 돌릴때 오늘은 조금 너무 따갑고 아팠어요 ㅠㅠㅠㅠ,불만,고객만족도조사(설문),시술자 스킬부족,시술
150,2021.7.26 0:00,"접수는친절하셨지만
후관리는 포항에서1시간을 반차를내고와서할만큼시원하다느낄만큼만족도를 느끼지못했습니다.아프지도않았고 아무런자극도없었네요.
사람마다 고통에정도는 다르겠지만 어떤용도로 이걸한건지굳이할필요가 있었나 싶습니다.",불만,고객만족도조사(설문),시술자 스킬부족,시술
151,2021.7.26 0:00,"람스시술이 끝나고 매주 후관리때마다 원장님 진료를 보는게 맞지않나요?
람스시술 끝나고 일주일후인데 붓기나 멍 혹은 불편한게 없는지 시술후 부위가 어떤지 보는게 맞는데 여기는 그런게 없네요
제가 원장님 만나고 가겠다고하니 그제서야 진료를 잡아주는데 그건 좀 아닌듯 싶습니다
시술부위가 붓기나 멍이 심해서 그부분도 확인할겸 시술후 변화여부에 대한 이야기도 여쭤보고싶어서 진료를 봤는데 멍에 대한 부분 설명만하고 처방전만 주시네요
아직 붓기라 시술부위 변화에 대해 말 아끼는건 이해하겠지만 그런부분을 신경써주는게 담당의사의 자질이라고 생각합니다
몇년전 시술때는 다른 원장님이었는데이 시술후 이런 불만족은 없었는데 이번 원장님은 시술후 나몰라라 하는게 환자입장에서 기분좋지않네요
개선해주시길 바랍니다",불만,고객만족도조사(설문),"응대 태도(불친절, 무관심등)",직원
152,2021.7.26 0:00,람스한지 6개월이 넘었는데 흉이 사라질기미가 안보입니다 심지어 볼록 튀어나오고 가끔 그부위가 간지럽기도한데 괜찮은건가요?,불만,홈페이지,시술 후 부작용(착색 ),시술
153,2021.7.26 0:00,"진료보기전 뭔가 물어볼내용을 미리 생각하고 갔었는데
뭔가 원장님이 조~금 바빠?보였다고 할까요?^^;
그래서 급하게 아닌 급하게 우선 생각나는것 얼른 물어보고
한다고 미리 생각해갔던 질문 몇개는 하지 못했네요..ㅎㅎ
못 물어본 질문에대해선 조~금 아쉽긴하지만 대부분의 물음에 
친절히 답해 주셔서 만족합니다~
",불만,고객만족도조사(설문),"상담 불만(내용부족, 강요등)",직원
154,2021.7.26 0:00,대기 없이 바로바로 진료 받았어요 친절하고 좋아요 근데 울핏/체외충격파 시술의 직접적인 효과는 잘 모르겠네요,불만,고객만족도조사(설문),"시술 후 결과 불만족,요요",시술
158,2021.7.25 0:00,"김현주원장님 너무 편안하게 해주시고, 김지은매니져님도 혼자 수술 받으러 온 나를 안심 시켜주고, 세상 이렇게 친철하신분들이 또 있을까요? 수술실에서도 매니져님이 너무 편안하게 해주었다.????????????????김현주원장님의 세심함에 수술하는게 안심되고, 믿음 1000000% 였다. 수술 후에도 김현주원장님께서
퇴원전 마지막까지 살펴주시고 인상깊었다~????????????????????????

수술 후에… 회복실에서 이상하게 아랫배가 아프고, 화장실이 계속 가고 싶었는데… 소변이 마려웠는데 진통제 맞고 하니 편안해 졌다~ 

수술 후 케어가 아쉬웠는데… 물이 옆에 있는지도 몰랐고, 나중에 물 마셔도 되는데…라고 하였고, 물도 죽 먹을때서야 처음 마심… 화장실이 가고 싶었으나 꾸욱 참고 집에와서 화장실 감… 수술해주신 원장님, 매니져님은 너무 감사드려요 ~ 수술 후도 케어 질해 주셨음 좋겠어요. 

",불만,고객만족도조사(설문),"응대 태도(불친절, 무관심등)",직원
159,2021.7.25 0:00,"약처방도 세심하게 해주셔서 너무 좋았지만
다음주 예약이 안되는데 일주일치만 해주셔서 아쉬웠어요ㅠㅠㅠㅠ
알았으면 미리 말할걸 생각 안하고 있다가 집에와서 약먹다가 알았어요ㅠㅠ

이번에도 동일한 선생님이 세심하게 시술해주셔서 너무 좋았어요

상담 선생님이 부위별 맞는 시술을 추천해 주신것도 너무 좋았어요^^",불만,성공기(온),직원 기타,직원
164,2021.7.24 0:00,"수술동의서 오류가 있어서 좀....
임현제원장님 초음파두 다시 봐주시면서 설명두해주시고 지흡결심하게된 이유도 물어봐주시고 따끗하게 이런저런 얘기해주셔서 감사합니다~
정진묵원장님두 신경 마니 써주시고 감사합니다~",불만,고객만족도조사(설문),"기타(이벤트, 비용불만, 예약제 불만, 메일 오류등)",기타
165,2021.7.24 0:00,약값이 좀더 나아질꺼라는 이야기를 오늘 데스크에서 해주셨는데 지난번보다 오히려 조금 더 나왔어요ㅠ(지난번에워낙 체감가가 높은거같아서 비록 지난번보다 천원정도 차이인거같지만요),불만,고객만족도조사(설문),직원 기타,직원
